clean_text,sentiment
dont get much time either going get worse girl r home summer stink,negative
u copy wot wrote hmm,neutral
yeah downloaded whole album fame miss taking care hahah,neutral
lol tankdps friend problem different guild wtf wrong server,negative
hug listening ebtg every one perfect public hol monday morn cuppa,neutral
travesty no people said theyd think involving joss whedon,neutral
cashflow forecast fun but big red number arent,neutral
wellthat end well unless course well time power three sum end x,positive
thats prob no idea meet guy met ex online ive dated pool dry,neutral
yearold girl battle rare breast cancer,positive
ooh cutting like,positive
didnt enjoy say goodbye alex v emotional time but sun making happy,neutral
deck building buddy missing action,neutral
midwest girl lolso close yet far,positive
no thinking much miss tdub,negative
happy mother dayi gr day kid mum,positive
herewaz uuuup seriously glad yall fun bad invite got lost mail lol peace xo,neutral
eww dislike,negative
going good ol soak tonight mother day feed love ever,positive
im fighting feeling sick hoping tired im really not feeling well though,negative
didnt check twitter till thanks everyone congrats really really appreciate,positive
trying upload one thousand photo,neutral
good night erin wouldnt say early old,positive
thanks still passing around germ but surviving missed anything,neutral
dont get car back til monday boooo,neutral
u add ur link cant find u youtube,neutral
going wedding afternoon,neutral
got best mother day present tys made cry uncontrollably wasnt present,positive
took phogs,neutral
little girl shallowness annoy good side didnt straighten hair today look decent,neutral
book no complaint plus im book voucher,neutral
good boyfriend like,positive
living spainyou never take hot shower grantedluckily nice friend across street,positive
going go bed failed miserably booking holiday although seem new follower high five x,negative
ahh would good reason heh hope go well hun,positive
finally watched he not arizzard justin long sexy isnt told ya,neutral
knee hurt,negative
ii foggy,neutral
hole twitter thing new not letting change picture stuvk wee stpid thing,negative
getting ready ship care package daughter shes not coming home summer college,neutral
no sorry twitter suck ball since reply change,negative
lost follower oh well probably one mute one anyway,negative
ordered asus eee pc,neutral
rain oh hell way tell,negative
not alone,neutral
finally finished film final well except part but idk,neutral
gooooonight twitter hope im better tomorrow,positive
sings remember alwaysss hear radio but never catch artist,neutral
im trying fix really but need stop cutting,negative
yeah planning actually got kinokuniya discount card im going splurge worried overwhelmed,negative
tomorrow final competition,neutral
better get sleep dodger gamemothers day maro ewl wake,neutral
thanks tell friend twitter say,positive
hate sick especially there no one pamper,negative
woke,neutral
finished lunchsubway eat freshnow got ta go back work,neutral
ohhh beautiful place hols go steady mead,positive
tonight great night sport yank lakers playing want watch game but im still scared drink,neutral
bigggest headache,negative
fatigue settling but got ta power awesome seat tonight im pretty lucky life aint bad,positive
know wrong maybe shouldnt thing like,negative
youre welcome chica,positive
im fine ive trying figure meaning behind song cant think anything urlmincnmt,positive
lmao ive never met anyone liked caramel much,neutral
oh no hate,negative
movie popcorn time,neutral
interesting people like never bored tooshers,neutral
holy cute dexter already lost kitten face gettin chunky butt since got back qld haha,positive
naw forget only u take,neutral
pm counting,negative
im work,neutral
banana cup coffeenot healthy breakfast,negative
crash grilled chicken breast w reefried bean gnite twitties,neutral
ooh hayfever struckthought going avoid year but nooo remedy anyone,negative
never good platform game,negative
womp womp woooomp,positive
city bittt,neutral
hard go ur guy peicing person shoud change cause mine hard change,negative
u good reply u fallin sad face,negative
dye hair nail,neutral
learning french funy schoolday today dont mad english,neutral
dyed hair back black,neutral
making mother day gift,neutral
uhhh not yet maybe dm inbox slow ill let know show,negative
dont know every time listen start cry,neutral
ugh feeling sick stomach five hour work go,negative
hey saw snl nitei loved especially crumpin scene crumpin dub wow hilarious,positive
maybe missed chance time,negative
paramore song one best currently listening emergency,positive
not columbus but wanted say sorry missing indiana show tomorrow sad wood g,negative
new baby exciting congrats advance,positive
yes nba song great got old funny nba cheerleader remix song ohrwurm day colorblind,positive
pegelcape ya keliling kuilbuttotally awesomewas amazed templecultureambiencetruly amazing thailand,positive
looked page realised radio show get play call want love track,positive
thats problem earphone get dont last month no matter brand price,negative
signal make internet go pretty bad getting tech get fixed though,neutral
ym meebo ebuddy really hate u,negative
white house join social networking site better late never,positive
only announced last day due cancer think,neutral
true donna wish joyfull sunday siddy,positive
room clean time breakfast,neutral
well go work,neutral
juice miss juice fruit,negative
lot thing nico gud news job bad news middle nowhere got phone twitter but cnt play video,neutral
cool saw link thanks,positive
ahhh meeting thanks reimer,negative
thx old computer slow kubuntu blender really,negative
blog updated,neutral
bunny eating mom plant naturally started shooting no bunny,neutral
sending get first check make enough lol only worked like hour far,neutral
but got effy,neutral
still grench paper still getting distracted,negative
saw started following welcome akl,positive
h ok know daisy love seen yet oh lord,neutral
got exam centre n said cant let u becuz sleeveless top u cud believe go home,negative
figuring wats wrong drink but cant eat,negative
kiddin shy not word id use describe,neutral
fyi putting makeup flourescents fail oh facepeely must look hideous also wheres lipstick,negative
ac broke house waiting get estimate timeframe repair bright side gon na join colab week,neutral
sadly not listen sob,negative
wee going movie tonight see wolverine,neutral
want chocolate milkkk,neutral
friday last not much fun skint though,negative
equation graph,neutral
dont fall celebrity worship though write think best rock,positive
im home yay unpacked everything got wash,positive
wow grandma passed awayim sick even think know shes better place,negative
john,neutral
entire week didnt get design graphic design job only home freelance sad,negative
case missed fb status looking maui hotel recommendation yes maui,negative
happy star war day may th,positive
good see family good day today,positive
okay thank cant find,positive
actually think im mean heri feel sorry,negative
watching cartoon havent year eating breakfast program changed,neutral
missed game,negative
gon na release another album already miss,negative
oh dear terrible however moleskine notebook rule lot,negative
dont mind not paying rent im moon idea moving least year early,positive
thats friend dati e could totally lian eina gelli zero francis well fit,neutral
wake early goddam last day bummer,negative
always get hope soonwe soooo close,positive
wait recipe simply recipe sorries,negative
put tv canuck game score yaay come vancity baby know cant believe im watching hockey either,positive
skimchamp taxi service best land,positive
knee killing,negative
plus guy icetv really miss living,negative
go first twitter application bold cheer long live,positive
awww no problem sorry tha loss,positive
fun hon ooh look poet,positive
hr time uni waiting start st exam scary working hard morning though feeling ok atm,neutral
name soulja boy tell em live live,neutral
definitely worth art not withstanding hate moving hate packing even,negative
really enjoyed podcast st time listenening show def listen,positive
gone mm plug help said id go maximum still want stretch,neutral
know youre late tcu nightly scan start oh well graduated today,neutral
doesnt sound great,negative
night boyssss,neutral
nyc right favorite people but instead stuck ri,neutral
dam finished watching prison break final breakomg dont think ive cried hard showfinally understand finale,positive
dont u use twitpic none ur pic show phone,neutral
haha maybe someday publicist thats going school,neutral
wt red wine,neutral
song know especially since summer boring tv time begin,negative
alternate name bacon mary bloody piggy give boyfriend credit idea,positive
say look like demi hahaha yessss august nd blast,positive
wondering local border going make lot bare shelf make sad,negative
hey great gig well exchange track via ze emayal im lost loop right still writing,positive
im disgusted well baron spelling lesson homie haha effort team r u shwasty shloshed love,neutral
dang yall mother day already goodnight twitter world start shooting monday,neutral
suck u go id b pissed,negative
saw pic reminded anna king cuuuute little fella,positive
couper ive heard son seen one want see cant wait get,neutral
hi c welcome twitterverse help anything ask,positive
thinking drink watered but hey free,neutral
super pumped relay life tonite walking honor sweet grandpa uncle howard past yesterday,neutral
jonas rocked tonight going bed write lil bit night bless,positive
ugh something wrong suddenly feel extremely flushed shaky broke sweat idk whats wrong,negative
dont know noticed happens sometimes,neutral
baby not talking obsession right,neutral
cutest cat moment video enjoy,positive
today blessed day,positive
doesnt look good,negative
good morning good wakeup music,positive
goin mall gon na see movie ghost gfs past hope good top im goin alone but ilook cute feel good,positive
im sooo happy demis back twitter,positive
yeah well thanks blush,positive
gig awesome exahausted dont want revise boo hoo,neutral
borrowing mom lenovo laptop trackpad battery life suck ball quarter seriously missing macbook pro,negative
icant live cant live lmao oh btw oooo foot hurry plaster im going bleed death,negative
woops only realized dm not going,neutral
wave back good day,positive
naughty woman sooo meet,neutral
ugh apparantly doc authorized refill tuesday ready picked but order status online still say waiting review,negative
believe only black personality explain feel boyfrann mine gots sprung,neutral
practicing blackjack skill doesnt look hopeful,negative
happened day customer asked ship work address sent another one,neutral
crumbles best art attack thanks follow,positive
working bank holiday but dont mind good fun,positive
gtg listen cobra new song myspace ttyl santi,neutral
original nonyahoo acc deleted got boughtout but not bad dont receive yahoospam,positive
wish leigh happy mother day midnight ny,positive
online shoppingfantastic,positive
im enjoying sunday much no parent no revision like sunday,positive
big hair rock day today think go start xxxxx,neutral
oh well maybe one day,neutral
nope dnt wireless ne hater ugh save copy watch,negative
online,neutral
making cupcake say cant kelli youre bad sister,negative
sorry hear going okay tweeting away,negative
argue byron said im fat,negative
uploading photo cellnothin like true candidness,negative
entire body hurt shower hot tea tv please,negative
lost first field note notebook page filling rip,negative
seventeen today trekking chorleywood see cambridge,neutral
alright alright tuning taking note remember said got spot raising handz,neutral
make feel better saturday night lame well heart,neutral
spent day putting trampoline but tired use cool though,neutral
seriously mum make eat yeah weird eating habit not eating day but really,negative
oliver no happy mum day mum only guy,negative
figure work dont get hope youre well,neutral
oh wish chick filas im definently jealous,negative
wow ive officially lost faith britain look like wish werent met sadly,negative
office hourstrying make computer feel better,positive
say hi kimba,neutral
hahaha maybe certain group junior hello korea world,neutral
well dnt really knw wot stay wit doesnt want b wiv move home rent yr bein away,negative
watched standard dvd version no blu uk yet effect best seen home system yet,positive
wow party new life awesome no girlfriend create ton drama babe party way go w,neutral
thanks but seriuosly back plan,neutral
dont cut,neutral
reminder good speaking havent posture check awhile,positive
say gosh missed yesterday live chat bed sick,negative
amanda peet lot like love love classic really,positive
omgsh im followed paramore,positive
only walk street london townno field,neutral
thank look,positive
whatever workweek time go play new phone sim card didnt transfer contact list,neutral
want see friend mindless fun no work play drunk walwal mean sleeping one bed,positive
screw im going shopping ill back like anyway ill hard core revision,neutral
good morning twitterer rise shine way school,positive
oh no week bad one everyone love pretty face youre going fantastic concert tonight,neutral
cook sumptuous lunch today,positive
matta take well know quiz made one day no one took yet put pic yday fb,neutral
hey tallebudgera creek pmvisiting anitas special treecould almost bumped,neutral
forgot moi,neutral
studying spite whatever wonderful unforgettable weekend dc,positive
jeff right call duty pwns got ta figure xtra copy wolvarine bought earlier week,positive
nice chat old frnd since v talked fun,positive
never invite,negative
nope neither lady today,neutral
look like another sober weekend ahead,negative
soooim kind sick n tired b guy dish,negative
hi cant stay long go work soon,neutral
reference dont dress either sound like lh good fopp buy,positive
damnnn training start but would cool next timeee,neutral
bahhhh cold weather making teeth hurt,negative
love himi hate himi loved yesterdayill hate tomorrow im confused,neutral
got booked ticket athens,neutral
not sure yet said well see,neutral
watching sicko utterly digusted country,negative
ugh suck,negative
love but importantly love mom happy mother day,positive
no buttfuck stupid im silly forgetful,negative
im actually skype but ssshh dont tell anyone,neutral
empitome epic fail know epic fail,negative
sorry hear,negative
omg broke pizza stressed mad,negative
yeahbut finish go home get changed etc etc im,neutral
thinking cant control thought,negative
holy sharapova taking beating unseeded qualifierok back double,negative
oh im offended ha,negative
finish twilight wish wasnt,positive
yum thanks getting dressed waiting washing finish hang ill text set,positive
wellity think ima gon na clean room need read good book sense sensibility come beat lily,positive
dont know guy radio disney much energy wouldnt able,neutral
row p but tried run front corrupted could see singing away,neutral
bust cap tell bust cap jesus,neutral
wish joe bidden train,positive
im kinda bored anyone else think ill listen hip hop pretty good check,neutral
cant minute treadmill but done minute today already gon na minute,neutral
im still devastated manchester united losing ucl final,negative
not really install o x harddrive get boot school imacs,neutral
digiqom welcomed new team member company today,positive
haha im philippine want follow,positive
kevin cant leave work,neutral
nd period studyhall remembered ipod music time,neutral
thats mean,negative
bach thank positive energy contribution,positive
im grounded tonight hate stupid silent mode,negative
watching cartoon,neutral
no not expensive window linux,neutral
didnt really watch haha,neutral
definitley miley,neutral
good morning hope everyone well monday thanks recos blessed,positive
animating ad work one favorite thing much im saturday night fun,positive
tell work give two day row stat im full time im supposed priority,neutral
he mess but ilove,neutral
tink whatever mean jkuk girl show u love,positive
girl well something thaz quick please,positive
something way mail pj address fyi,neutral
planning run riot luton today ba haa not reeeally wheres library town though,neutral
hale yeahhh thats coolest part hahaha match grieco,positive
happy mother day mom,positive
married year wonderful man,positive
besties only,positive
far downtown minute veggie burger,neutral
omg bgt making cry wee girl soo sad,negative
whether thats good bad cant disagree,neutral
id respond going,neutral
awake nap,neutral
got finished watching marley cried like babyim missing beast like crazy,negative
today sooo boring school sleeping time,negative
rain ever go away puppy getting cabin fever doesnt like going rain,negative
day till beyonce,neutral
chilling tv quite bored moment,negative
almost everyone suck right ive people,neutral
happy mother dayyyy love mummyyyyyyyy,positive
glad hope yall make back near new orleans,positive
work work work get tired sudden nicole told say hi aww enthusiastic hi paul,neutral
break heart,negative
wow only found new xbox called xbox not no im geek,neutral
hate watchn thing make sad n wana cry,negative
ive got one though think mine attributed seizure inducing colorlight show movie soloist,neutral
build hotel without aircon bloody boiling,negative
wan na b marie antoinette co perfect hairdo fab clothes n ton macarons crappy day,negative
miss youuu wish dodging semi,negative
dont no plan go home watch game plus still work early cant partying late,neutral
oh no kindergarten teacher died mr collinson always remembered every student ever loved lady,positive
fantastic,positive
vancity holy shizz home soon kid,neutral
well going sleep people night twitterer love ya welcome home,positive
hi thanks follow good luck friend ha,positive
taco bell trampyesssssir,positive
guy heard flu thats going around swine flu hope guy safe thereve death already,neutral
happy mommy day,positive
eating chicken noodle soup one day,neutral
fresh prince sleepy sleep nightly routine got ta go dmv early tmrw,neutral
keep trying talk australia thinking jet lag far isnt working still want go,neutral
didnt get job stuff magazine dammit would amazing oh well,neutral
depressed already but isnt want book,neutral
new york ft look rather good last night big apple,positive
waitin man get home take waitin hour,neutral
hell unlucky come next week,negative
boo mustve deleted phone cant find email either,negative
good luck itdo well best wish,positive
lot usual laundry thanking god cleaning house praising god cutting hedge thanking praising god,positive
good luck tonight fun,positive
not working,negative
must weather b nice bad minute,positive
wish but im chicago,negative
going go get food,neutral
omg learned little girl played ducky first land time movie murdered age wtf,negative
yeah know hun spammer seem move fast though already two first minute posting block em,negative
partying pineforest,neutral
wish pitchfork would shutup make miss spain,negative
blaze head hurt,negative
kenny u aliveim getting da hair doneto bad im not chillin w u todat kinda sad,negative
oh man better something fix ugh stupid verizon,negative
soul look forward new cd big fan,neutral
no didnt not anyway,neutral
lol exam didnt go mcast school finished form thats soo disappointed,negative
work tomorrow sheli,neutral
dead gerbil,negative
happy star war day may fourth,positive
oh love texting drunk friend hahahaha,positive
water go home cause presentation ended x,neutral
thought simple one found hilarious,positive
night dance party fun time awkward situation highlight driving w nim annie listening satellite window downnnn,neutral
took month understand avatar,neutral
wind nearly blew outfield,neutral
woke feeling real good cause krispy kreme want doughnut,positive
hey,neutral
okay feel really sick,negative
got back lunch feeling like nap order work but press,neutral
lohang listening music really happy librefm combination here profile,positive
think twitter hate every come photo took age day change pic especially time,negative
traffic jam outside chicago feel office space right,positive
cant wait see tonite hilarious,positive
chillin waitin hunny baby get work get drink finishin da song,positive
gon na go aunt party gon na late night thing hopfully get school tomorrow,neutral
another day couldnt find ended trying another cart cant remember name sigh,neutral
thanks feel happy make ur day great one enjoy fullest n fun always,positive
talking phone someone ive missed lottt,negative
fml ughhhhhhhhh im not going anwhere today sit bedroom share mother cry,negative
hard find good house event sacramento area,negative
babsi there manual process but taking ever outlook database pffff crappy msft product,negative
good one might think year nanowrimo competition,positive
get go coffee no fun hate,negative
bus rolling along faster expected might make home maybe,positive
no worry,positive
oh yeah radio playing earth wind fire,positive
lol wat u making come da way overr forv,neutral
dayssss ahhhh super excited theyre telling heart wont beat jls awesome yesterday,positive
youre cute,positive
thx following r band kind genre play nice meet,positive
prom tonight bad im not going,negative
r cant get one either dog im pretty sure bunny wouldnt survive struggle tom,neutral
good day let see get accomplished today together,positive
realized tonight drake,neutral
make something buying something impersonal shes mom,neutral
u eat isnt exactly true u digest todayisaprosperous productive day thankujesus beyeblessed hee hee,positive
omg didnt even know friend knew lol small world,neutral
aaauuuggghhh n check mcdonalds check haha next hot cheetos,neutral
shud realy go bed proper tired bt cnt b boverdx,negative
watching wizard waverly place,neutral
asked suit heading didnt think looked much like,negative
thats baby little rhythm still sinc inutero,neutral
unless absolutely gorgeous id rather men stayed covered seen sight today put food,positive
ok tweeps sorry many twitpic ill delete pic soon em copied,negative
home school tonight probably not,neutral
obama ish funny,positive
mmm eating tostitos piknik spinach dip sr,neutral
much blog but no time,neutral
im sooo lost without car truly depressing pregnant people never stressed,negative
want ice cream,neutral
haha nice heard sweet hotel another note not good game last night,neutral
got car back excitedsad going away party im attending tonight dani going back brazil,neutral
famous houston take look,neutral
hope mom ok,positive
oh lucky u need send mine away get fixed,positive
yep one work love potbelly but cant get az wait chitown trip,neutral
everyone vote mtv movie award coz comp mashed wont let vote somehow,negative
yea friend flew amercia see w jonas brother u haha hate bebo p aw cant wait,neutral
finished filming day another fun day set hahaha,positive
click setting link public timeline bottom page,neutral
coomee jamaiiicah feel alllll right hahaha,positive
good song,positive
dont associate fake ass,negative
much buying awesome new phone sony ericsson berryd like everyone else,positive
u,neutral
much fun today love alyssa arellano mika reyes,positive
beautiful morning time get enjoy sun,positive
want trade someone houston ticket but no one,neutral
smh im sick bug thats going aroundalmost everyone know sick including,negative
hour walking hot weather satisfied but hurting nellie ow blister,neutral
really helpful swear lot realized haha,positive
wow install twitter fox tired keep refresh browser,neutral
mother even soon mother happy mother day yall,positive
reception food long beach graduation no champagne,neutral
youre back,neutral
sweetest love cuz,positive
broken leg comment please,negative
found old familiar feeling,positive
truly like,neutral
thanks dear know but appreciate validation always,positive
need tour date stat,neutral
assume mean nd item nested line but no invert call tree button found,negative
weee internet back home,positive
staying home work linoleum block carving project due tomorrow probably picture,neutral
yes,neutral
need men give input ill fill u time soon,neutral
oh wait messed messed lyric dont concretize,negative
starting wonder im going get job came across though id find work elsewhere need must not intentionally,neutral
like u said give tc chance miss thomas but move watch,neutral
early send someone airport,neutral
day back work day went allllllllright only exposed swine flu hour thats ok think wash hand,neutral
hmm maybe time really react worst,negative
nooo font connoisseur totally relate dude heart go,negative
im tonight good night everyone,positive
stupid putet wont let go chat,negative
thanks night,neutral
leo carillo beach rogers state park list state park might close,neutral
tip finger hurt lmao,negative
hi not howmany people follow much help others,neutral
weather may make cause temp fell c c yesterday,neutral
feel bad john kate,negative
hungraaaaaaaaay ill eat dont go away twitter lunch,neutral
goodnight p thanks jailbreaking ipod stacie,neutral
ugh got stop biting nail grrrrr,negative
well come nigguh only thing may going like phuket bali afterwards,neutral
know tested exam subject except english davis,negative
haha hi mum wow yes modern need get facebook account p talk writing,positive
yeah doesnt sound good,negative
theyre not,neutral
dont procrastinate like,neutral
muji yipee anybody coming send hahaha but somebody bring jts bsg disk haha,neutral
hot weather lose clean cleaning heat suck ball,negative
yay bought american dad volume also seen australia dvd could lot cheaper going,positive
benson macarena never looked good loved aaaaiieee squeak exclamation,positive
fun jessica alba weekly twitter follower count starting look like movement,neutral
saw lil girl big eye hair like dora explorer cute,positive
dancing pirouette ballerina hug morning awesome brudder,positive
thank sweetie understand people mad something made choice life,positive
good luck breakfast search but u go bed lol goodnight david,positive
gray feel neglected,negative
cant sleep people keep textin,negative
exam,neutral
no happy hour ccp eithah thats bad,negative
im wishing outside instead trapped office,positive
funnn,positive
watching thomas train engine make miss george carlin,negative
dsi latest nintendo d camera stuff built gadget house luckily get blackberry free work,positive
dave meany,neutral
well guess dependsundergarments,neutral
week funi hope next week even better nyc day,positive
worried reply sending sm,negative
happy mother day mommy grandma haha ily,positive
want know tried ask pkia but still not reply but change status away,neutral
yeah work hr,neutral
anyone know scale pic im trying change pic but pic r big n keep cropping themhelp,negative
one but not get carry,neutral
make google search page name,neutral
thankyou ur night,positive
bird flew window parent house snapped poor neck got ta bury,negative
im awake anybody else awake wish lived u since fun happens im asleep,positive
no way sydney yeah guy like semiolder version short stack however talent,neutral
thanks follow,positive
not feeling day left glass peace unity,neutral
guy keep voting ask ur follower help only day left competition close,neutral
im playing left dead friend gilbert louie fun happy mother day mom,neutral
waiting around boyfriend queen look like going pour dt bklyn umbrellaless,neutral
benson absolute legend love love love,positive
lost fight tweefight lost please revenge try,neutral
castiel loveeeeeeeeeeeeeeeeeeeeee,positive
bullhorn tell ur friend follow come onnnnnnnnnnnn ppl,neutral
going see grandad today,neutral
kno cant deal life not,negative
feel crappy today,negative
made mind,neutral
pina not goodhe wouldnt like girl flirting colleagueswould,negative
woke coffee listening music reading rsssunday feel great,positive
mom want lay well later probably little im sorry youre sick,negative
yeah hate sorry ur goin thru,negative
doggone only got hour nap really want ponderosa chicken wing,neutral
mc string dress work track please u coming im ur biggest fan,positive
thankyou much rock,positive
couldnt come see southend nd couldnt get ticket ill come see solo tour,neutral
dey homie wish would stop raining already plus vacay almost,neutral
working climb season episode,neutral
fo shizzle im bored wan na go something wish went pisay today oh wellz wonder,negative
binstruct suffers update mib package developer package holiday,negative
also think im talking okay need get bed btw miss brother,negative
link doesnt work,negative
good day yall happy mom day,positive
im officially done school til fall,neutral
didnt start long message got longer wrote,neutral
warwoundsc feel ya pain ive got nasty cold get better soon,neutral
almost lunch time,neutral
aww cutie,positive
thanks follow doug like hat,positive
happy mother day single dad play mom dad role enjoy day,positive
good day lot stretching sleeping sun,positive
dont want going cry way home,negative
going dinner two u niceeeee,positive
hairdye patch test smeared white duvet cover,negative
wonderful mommy world,positive
wow definitely friday gym completely empty id like play wii but guess ill vacuum,neutral
hell going school hour next monday tuesdaydumb snow day thier lame rulesmy mom making go,negative
dana found doesnt get take lunch but rather hour hello delivery,neutral
oww cant even describe much back hurt going go stupid doctor,negative
wow god whole ui sooo much snappier responsive tweetdeck tweet feel like ims lol,neutral
ha im glad stopped raining umbrella broke today,neutral
eh shut freeway omw job interview guess im gon na late,negative
couldnt true like ur momma style,positive
great there cloud thats really really dark grey right outside office window sure lotta precip,positive
morning darlin hope youre feelin tiptop,positive
guy nothing free life shidduch money,neutral
ohhh lovely im glad great time,positive
dont think coffee work agreed tummy,negative
thanks carry craziness,positive
good luck auction,positive
watching cavs,neutral
guy said wanted spank,negative
no one even liked answer life last night pshh,negative
time revision listening album nonstop day,neutral
hahah lucky wait day poop lol abouts gold coast u dnt mind asking,positive
well see craig might hog u guy haha work till tonight anyways,neutral
spot oni wouldnt tweet without thanks share tonight,positive
wish jonathon ross audience right,neutral
yeah peep good day catchup everyone,positive
yeah ok thatll probably happen,neutral
oh whatever im excited anyway,positive
dang phone still broken come whenever,negative
love cute texy message especially call mandy,positive
cordon morning done bit week go but trying get done advance hows,neutral
haha remember trip fun miss miss miss miss miss chu,neutral
sprained ankle like really badly tore stuff hurt birthday weekend,negative
ate foot long subway like hour ago omg im happy full hadnt ate since bfast happy li,positive
sorry day bad gettin drink good plan,neutral
thanks,positive
love clutch im lusting one bright yellow,positive
chance seeing race germany unfortunately hardly tv news coverage cycling anymore,negative
nite tweeple tomorrow day work,neutral
oh no not difficult nut thats market home turf,positive
work mama sweetdreams,positive
ugh hate photobucket amazing place edit picture use alll time,negative
good morning another late sleeper one excellent designer valerie see picture,positive
twitter connected facebook,neutral
tgif short week wayyyyyy long,negative
yeah,neutral
youre telling,neutral
mind abuzz advertising industry standard dont hate like math ok,neutral
lost worknt happy right sloanster,negative
k slice left,neutral
body already developed mind but mind refuse cooperate set schedule,neutral
asleep brother woke asking ate rest frosted mini wheat cant go back sleep,negative
aww cant wait back la,positive
exploring twitter world,neutral
wondering im awake amwriting new songplotting evil secret plot muahahahaoh itnot secret anymore,neutral
ive lost pocket knife suggestion replacing ken onion chive,neutral
work no play,neutral
lol see sunburnnn not achurley bad least dont think xd,neutral
writer aww no one,neutral
enjoying coffee super delicious cookie,negative
pretty cool kid adult fun,positive
gave homeless lady named ruby ice cream sandwich cigarette gd deed day p,positive
yeah thats everything becomes difficult generalisation break not easy problem,negative
hate moving,negative
happy carrie,positive
aku kbangun gara mimpi bad dream,negative
sick week still not feeling well cant go lena cookout gunna spend time fam,negative
feeling pretty gud dont even hangover nice feeling,positive
say,neutral
truong sunbae bad jst scratch wht said im talking nonsense lol enjoy perfs,neutral
yep still seat left pracc workshop w see,neutral
hehe yeah but late hun,neutral
home tonight much fun goodnight twitterbugs,positive
chatting willy valdez comic,neutral
pretty amazing weekend far but bedtime im exhausted mother day tomorrow nighty night,neutral
think shell pull,neutral
neeeeed plan no one hang tomorrow booo,neutral
wan na go go wan na find know david mileyyyyyy,neutral
greg pritchard got threw final britain got talent,negative
ahhhaaaaa gunna get straight back,neutral
thanks homskis like christmas,positive
ok twitter almost pas,negative
ray youre best mean lot say cant wait hang hopefully soon,positive
like tweetie better use time,positive
hmmmm wonder number,neutral
already nooooooo,negative
agree,neutral
feelin lonely spendin last hour friend,negative
yeah next time,neutral
aww mom appreciate much familias leave tour,positive
chili night minneapolis refuse turn heat may,neutral
george lopez bed mommy day tomorrow wish house hugh laurie sexay sometimes like way older guy,positive
rain rain go away,negative
spending wonderful mother day brad mom dad happy mother day mom,positive
finished baking cinnamon roll soooo yummy,positive
ice cream,neutral
dont know but made lose,neutral
star war daymes jaja binks ha crappy day outside though ah well make bit motivation revise,neutral
week palm pre come centro dy temp phone but contact arent transfered yet,neutral
im msn,neutral
course evil day job want stay longer need win lottery,positive
philosophical mood tonight wandering round dark,neutral
there no thing,neutral
awesomeness,positive
back ae nice doctor diagnosed ligament damage felt could still k run but might take day heal,positive
today last official day uni no balancing uni work music til october atleast,neutral
overthought tying shoe couldnt figure,negative
another manic monday wish sunday thats fun day happy monday twitterland,positive
downed live abalone sashimi bottle sake fatherinlaw happy,positive
probably not good idea hard tweet web miss tweetdeck cry,negative
braid free miss thee blond come,neutral
almost case swine australia hope may still decides come visit,neutral
chica two day want u elle,neutral
rap battling second sat moviesss haha swim lake sex matthew ghost girlfriend past,neutral
remember put phone silent lol night loveees,positive
im listening,neutral
first weekend home,neutral
jungle book mary poppins bug life depending want cartoon live action cgi,neutral
good morning tweeties today rested richmond ready hit beach,positive
must love sydney dont leave u sydney kid,positive
thats baby,neutral
crashing wi highmissing mayfield,negative
ugh going skool,neutral
bluedart take shipment way figuring no deliver bring back database anyone,neutral
lol biking manly,neutral
waking ungodly hour go work starting get old least coffee good,positive
hi angela check email need one thing sorry day,negative
finsh work eleven even allowd cauz really dont want lol,negative
microsoft announced window release candidate download available tomorrow,neutral
never make cry everytime lol,neutral
black russian make think white russian movie quotation rug really tied room together,neutral
fun wango tangooo,positive
hit christian head metal bat haha socked eye haha miss reckless little kid,negative
shame,negative
nessa maxim magazine hot,neutral
guess wasnt meant change,neutral
parent wachting tv but terrible nothing else sad,negative
place called ut take somebody,negative
dinner crown south moreton david stroppy teenager,neutral
get text,neutral
plenty good trivia wikihow trying help hope u got sleep,positive
time add rfided object send message twitter everytime use coffee cup armani code pantone mug,neutral
xo,neutral
oh plzzzzz u never time,negative
emma going see diversity today x,neutral
learnt something new today,neutral
only follower sad,negative
said getting mcflys live album morrow whats called,neutral
saw best back combed poofy bang morning yo high time turned around gone no picture,neutral
need one,positive
dog going die somebody doesnt save,negative
g gent season,neutral
yep,neutral
great day work kid disappointment roof decal,neutral
feeling extremally ill,negative
respect travis clark gone notch,negative
twitter suck,negative
rahal thing living always undeveloped picture future,neutral
know see people love country could not get closer,positive
work thanks ppl getting freakin starbucks peace ppls,neutral
realized fantastic nerdfriends no longer live rochester,neutral
like buck shot kind camera,neutral
twenty cricket beer sunshine good well apart beer cause im tablet,positive
say los page doesnt exist,neutral
well get hitched get,neutral
tonight fun love girl tanna,positive
think ups web site hate still no brewing supply package held hostage work slow ups delivery,negative
cant wait leave work,neutral
tired workbut king bounty addon vampyre story evening xmen comixes completely donloaded,negative
cant wait real bed haha,positive
goodmorning tweedles happy mood think always past weekend lol vids beyonce weeknd coming soon,positive
really always dirty ha ha addiction,negative
awww boo lovee girly things,positive
chillin promoting muziknot eating lmaao,positive
guess freaky follower,negative
feel like tweeting no reason um hiiiiii,negative
here big moan dave leyrock im hr pity coloursfest ahoy xo,negative
good morning youre early feeling enthused design life thanks manics phrase,positive
yesssssssssss rocket moon going warped,neutral
wake upand got flu,negative
burning tongue ton soup,neutral
weather ugh something like asthma yeah ventolin,negative
